"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1395807]"
"CBN-PdlC-E2-20130723","[1394911, 1395807]"
"CBN-PdlC-E5-20130723","[1396733]"
"CBN-PdlC-E6-20130723","[1395807]"
"CBN-PdlC-E1-20130723","[1394911]"
"CBN-PdlC-F1-20130723","[1394911, 1395807]"
"CBN-PdlC-F2-20130723","[1395807, 1397528, 1420364]"
"CBN-PdlC-F3-20130723","[1361074]"
"CBN-PdlC-F4-20130723","[1392608, 1396253, 1397500]"
"CBN-PdlC-F5-20130723","[1359511, 1420364]"
"CBN-PdlC-F6-20130723","[1390793]"
"CBN-Pla-B1-20130724","[1361368]"
"CBN-Pla-B5-20130724","[1390802]"
"CBN-Pla-B6-20130724","[1395949]"
"CBN-Pla-B2-20130724","[1398222]"
"CBN-Pla-B4-20130724","[1390793]"
"CBN-Pla-B3-20130724","[1394530]"
"CBN-Pla-A6-20130724","[1396733]"
"CBN-Pla-A5-20130724","[1390793]"
"CBN-Pla-A4-20130724","[1666930]"
"CBN-Pla-A2-20130724","[1390899]"
"CBN-Pla-A3-20130724","[1394366]"
"CBN-PdlC-B2-20130807","[1360299, 1392608, 1395807]"
"CBN-PdlC-B6-20130807","[1395807]"
"CBN-PdlC-B5-20130807","[1395807, 1397475]"
"CBN-PdlC-B3-20130807","[1388766, 1528543]"
"CBN-PdlC-D3-20130807","[1360140, 1395807]"
"CBN-PdlC-D2-20130807","[1360140, 1395807, 1396253, 1412857, 1737507]"
"CBN-PdlC-E5-20130807","[1359511, 1360874, 1395807]"
"CBN-PdlC-F1-20130807","[1394911, 1395807]"
"CBN-PdlC-E6-20130807","[1394828, 1395807, 1397551]"
"CBN-PdlC-F2-20130807","[1391331, 1395807, 1737507]"
"CBN-PdlC-E3-20130807","[1395807]"
"CBN-PdlC-F3-20130807","[1395807, 1396253]"
"CBN-PdlC-F4-20130807","[1392608, 1395807, 1397551]"
"CBN-PdlC-F6-20130807","[1396843]"
"CBN-PdlC-C1-20130807","[1393708, 1395807]"
"CBN-PdlC-E4-20130807","[1389771, 1395807]"
"CBN-PdlC-E2-20130807","[1390802, 1395807]"
"CBN-PdlC-C5-20130807","[1395807]"
"CBN-PdlC-C4-20130807","[1395807]"
"CBN-PdlC-C3-20130807","[1361347, 1395807]"
"CBN-PdlC-A1-20130807","[1392608, 1412857]"
"CBN-PdlC-A2-20130807","[1390690, 1394366, 1395807, 1397123]"
"CBN-PdlC-E1-20130807","[1390793, 1392608, 1395807]"
"CBN-PdlC-A3-20130807","[1392608, 1395807]"
"CBN-PdlC-D6-20130807","[1395807]"
"CBN-PdlC-A5-20130807","[1360874, 1395807, 1397475]"
"CBN-PdlC-A4-20130807","[1395807, 1397475]"
"CBN-PdlC-D4-20130807","[1392608, 1395807]"
"CBN-PdlC-A6-20130807","[1397475]"
"CBN-PdlC-B4-20130807","[1397475]"
"CBN-PdlC-B1-20130807","[1392608, 1393200]"
"CBN-PdlC-D1-20130807","[1395807, 1396253]"
