"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1361281, 1361284, 1361347, 1361382, 1396733]"
"CBN-PdlC-E2-20130723","[1388766, 1391881, 1394911, 1395807, 1396974]"
"CBN-PdlC-E5-20130723","[1360140, 1361077, 1361382, 1388915, 1400188]"
"CBN-PdlC-E6-20130723","[1362729, 1388766, 1395807, 1396974, 1400188]"
"CBN-PdlC-E1-20130723","[1390793, 1394911, 1395807, 1396733, 1398222]"
"CBN-PdlC-F1-20130723","[1388766, 1394911, 1395807, 1418688, 1741880]"
"CBN-PdlC-F2-20130723","[1359988, 1395807, 1396733, 1737507, 1737701]"
"CBN-PdlC-F3-20130723","[1361281, 1390802, 1395807, 1396733, 1396974]"
"CBN-PdlC-F4-20130723","[1360748, 1360874, 1361233, 1393200, 1396261]"
"CBN-PdlC-F5-20130723","[1363740, 1390793, 1390899, 1394593, 1420364]"
"CBN-PdlC-F6-20130723","[1361077, 1390761, 1390793, 1390837, 1396974]"
"CBN-Pla-B1-20130724","[1356355, 1390866, 1390874, 1391797, 1395868]"
"CBN-Pla-B5-20130724","[1389627, 1390904, 1396839, 1398222, 1609716]"
"CBN-Pla-B6-20130724","[1361141, 1390866, 1390904, 1391207, 1398222]"
"CBN-Pla-B2-20130724","[1356609, 1390793, 1395949, 1396030, 1737684]"
"CBN-Pla-B4-20130724","[1390793, 1390802, 1390837, 1390904, 1398222]"
"CBN-Pla-B3-20130724","[1390793, 1390866, 1390904, 1398222, 1531145]"
"CBN-Pla-A6-20130724","[1394530, 1395807, 1395949, 1396015, 1738749]"
"CBN-Pla-A5-20130724","[1390802, 1391412, 1398222, 1737701, 1741880]"
"CBN-Pla-A4-20130724","[1390802, 1394530, 1396094, 1398222, 1609716]"
"CBN-Pla-A2-20130724","[1390904, 1396094, 1396839, 1398222, 1609716]"
"CBN-Pla-A3-20130724","[1390904, 1391412, 1396094, 1737701, 1738847]"
"CBN-PdlC-B2-20130807","[1360299, 1392608, 1392611, 1394366, 1395807]"
"CBN-PdlC-B6-20130807","[1395807, 1395862, 1395868, 1395870, 1397042]"
"CBN-PdlC-B5-20130807","[1395190, 1395807, 1395870, 1397475, 1741661]"
"CBN-PdlC-B3-20130807","[1360874, 1388766, 1394911, 1395807, 1396974]"
"CBN-PdlC-D3-20130807","[1359511, 1360140, 1360874, 1395807, 1647128]"
"CBN-PdlC-D2-20130807","[1362729, 1393619, 1394866, 1412857, 1737507]"
"CBN-PdlC-E5-20130807","[1358147, 1360874, 1392608, 1392611, 1392612]"
"CBN-PdlC-F1-20130807","[1391074, 1395807, 1395870, 1396974, 1397043]"
"CBN-PdlC-E6-20130807","[1360872, 1360874, 1390793, 1412585, 1737693]"
"CBN-PdlC-F2-20130807","[1395807, 1395868, 1396253, 1396733, 1396858]"
"CBN-PdlC-E3-20130807","[1359511, 1361284, 1361347, 1362023, 1392299]"
"CBN-PdlC-F3-20130807","[1360874, 1394366, 1395807, 1396974, 1738627]"
"CBN-PdlC-F4-20130807","[1360864, 1360874, 1395807, 1397123, 1397524]"
"CBN-PdlC-F6-20130807","[1359511, 1361055, 1363282, 1390793, 1394416]"
"CBN-PdlC-C1-20130807","[1360140, 1364066, 1388915, 1393708, 1395807]"
"CBN-PdlC-E4-20130807","[1363740, 1388766, 1395807, 1396733, 1413421]"
"CBN-PdlC-E2-20130807","[1360269, 1361801, 1395807, 1395868, 1395870]"
"CBN-PdlC-C5-20130807","[1360269, 1395807, 1395870, 1396858, 1397042]"
"CBN-PdlC-C4-20130807","[1360864, 1360874, 1393708, 1395807, 1397043]"
"CBN-PdlC-C3-20130807","[1360864, 1360874, 1360878, 1395807, 1395870]"
"CBN-PdlC-A1-20130807","[1362331, 1388766, 1390904, 1396974, 1412857]"
"CBN-PdlC-A2-20130807","[1395807, 1395973, 1396015, 1396094, 1397500]"
"CBN-PdlC-E1-20130807","[1392608, 1395807, 1396733, 1396974, 1418688]"
"CBN-PdlC-A3-20130807","[1360874, 1388766, 1391797, 1395807, 1412857]"
"CBN-PdlC-D6-20130807","[1360140, 1364066, 1395807, 1395870, 1741880]"
"CBN-PdlC-A5-20130807","[1362729, 1364071, 1393708, 1395807, 1397042]"
"CBN-PdlC-A4-20130807","[1360299, 1395807, 1396974, 1397500, 1397547]"
